ticket_id,customer_id,message,intent,sentiment,assigned_department,priority,status,sla_deadline,created_at,channel,customer_segment,issue_category,resolution_status,resolved_at,resolution_time_hours,resolved_by_team,sla_met,customer_feedback_score,notification_channels,email_sent,email_error,sla_status,is_dispute,dispute_type
WYA-TCK-260AA246,12,I was debited twice for one transaction and I need urgent help.,failed_transaction,Negative,Finance Operations,High,Escalated,2026-05-28 03:16 PM,2026-05-27 03:16 PM,Chatbot,Retail,Transaction,Escalated,,,,,,"dashboard, email, teams",False,SMTP_EMAIL is missing from .env,Breached,True,Failed Transaction Dispute
WYA-TCK-2A7E488A,12,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-05-28 03:17 PM,2026-05-27 03:17 PM,Chatbot,Retail,Transaction,Escalated,,,,,,"dashboard, email, teams",False,SMTP_EMAIL is missing from .env,Breached,True,Failed Transaction Dispute
WYA-TCK-C35851F3,12,My card was used for a transaction I did not authorize.,card_issue,Neutral,Customer Operations,Medium,Open,2026-05-29 03:18 PM,2026-05-27 03:18 PM,Chatbot,Retail,Card Services,Resolved,2026-05-27 09:18 PM,6.0,Customer Operations,1.0,4.0,"dashboard, email",False,SMTP_EMAIL is missing from .env,Breached,True,Card Service Dispute
WYA-TCK-2DF45218,12,My KYC verification has been pending for days and I cannot use my account.,kyc_issue,Neutral,Compliance/KYC,Medium,Open,2026-05-29 03:18 PM,2026-05-27 03:18 PM,Chatbot,Retail,KYC,Resolved,2026-05-27 09:18 PM,6.0,Customer Operations,1.0,4.0,"dashboard, email",False,SMTP_EMAIL is missing from .env,Breached,False,Not a Dispute
WYA-TCK-7B703C74,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-05-28 03:23 PM,2026-05-27 03:23 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email, teams",True,,Breached,True,Failed Transaction Dispute
WYA-TCK-680D28D7,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-05-28 03:52 PM,2026-05-27 03:52 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email, teams",False,SMTP_EMAIL is missing from .env,Breached,True,Failed Transaction Dispute
WYA-TCK-BCFAF002,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-05-28 03:53 PM,2026-05-27 03:53 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email, teams",True,,Breached,True,Failed Transaction Dispute
WYA-TCK-0C1A8FA5,CUST-0001,Someone accessed my account without permission and made a transaction.,fraud_alert,Neutral,Fraud/Risk Team,Critical,Escalated,2026-05-27 07:54 PM,2026-05-27 03:54 PM,Chatbot,SME,Fraud/Security,Escalated,,,,,,"dashboard, email, teams, sms",True,,Breached,True,Fraud/Risk Dispute
WYA-TCK-76D66007,CUST-0001,How do I update my phone number?,general_inquiry,Neutral,Customer Operations,Low,Open,2026-05-30 03:54 PM,2026-05-27 03:54 PM,Chatbot,SME,General Inquiry,Resolved,2026-05-27 09:54 PM,6.0,Customer Operations,1.0,4.0,dashboard,False,,Breached,False,Not a Dispute
WYA-TCK-CC520935,CUST-0001,Someone accessed my account without permission and made a transaction.,fraud_alert,Neutral,Fraud/Risk Team,Critical,Escalated,2026-05-27 10:42 PM,2026-05-27 06:42 PM,Chatbot,SME,Fraud/Security,Escalated,,,,,,"dashboard, email, teams, sms",True,,Breached,True,Fraud/Risk Dispute
WYA-TCK-284BFF3D,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-05-28 06:57 PM,2026-05-27 06:57 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email, teams",True,,Breached,True,Failed Transaction Dispute
WYA-TCK-B7FA7B16,CUST-0001,How do I update my phone number?,general_inquiry,Neutral,Customer Operations,Low,Open,2026-05-30 07:03 PM,2026-05-27 07:03 PM,Chatbot,SME,General Inquiry,Resolved,2026-05-28 01:03 AM,6.0,Customer Operations,1.0,4.0,dashboard,False,,Breached,False,Not a Dispute
WYA-TCK-7E6F2799,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-05-30 11:02 AM,2026-05-29 11:02 AM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email, teams",False,SMTP_EMAIL is missing from .env,Breached,True,Failed Transaction Dispute
WYA-TCK-C0D9E5D4,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-05-30 11:05 AM,2026-05-29 11:05 AM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email, teams",False,SMTP_EMAIL is missing from .env,Breached,True,Failed Transaction Dispute
WYA-TCK-7D195900,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-05-30 11:10 AM,2026-05-29 11:10 AM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email, teams",True,,Breached,True,Failed Transaction Dispute
WYA-TCK-E99BE161,CUST-0001,The app keeps crashing whenever I try to make a payment.,general_inquiry,Neutral,Customer Operations,Low,Open,2026-06-01 11:12 AM,2026-05-29 11:12 AM,Chatbot,SME,General Inquiry,Resolved,2026-05-29 05:12 PM,6.0,Customer Operations,1.0,4.0,dashboard,False,,Breached,False,Not a Dispute
WYA-TCK-F8C23632,CUST-0001,I cannot log into my account and I need access urgently.,general_inquiry,Negative,Customer Operations,Low,Escalated,2026-06-01 11:12 AM,2026-05-29 11:12 AM,Chatbot,SME,General Inquiry,Escalated,,,,,,dashboard,True,,Breached,False,Not a Dispute
WYA-TCK-ADD5CBDB,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-01 04:28 PM,2026-05-31 04:28 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email, teams",False,SMTP_EMAIL is missing from .env,Breached,True,Failed Transaction Dispute
WYA-TCK-E9442782,CUST-0001,Someone accessed my account and transferred money without my permission.,fraud_alert,Neutral,Fraud/Risk Team,Critical,Escalated,2026-06-01 03:59 AM,2026-05-31 11:59 PM,Chatbot,SME,Fraud/Security,Escalated,,,,,,"dashboard, email",True,,Breached,True,Fraud/Risk Dispute
WYA-TCK-8DE48438,CUST-0001,The app keeps crashing whenever I try to make a payment.,general_inquiry,Neutral,Customer Operations,Low,Open,2026-06-04 12:00 AM,2026-06-01 12:00 AM,Chatbot,SME,General Inquiry,Resolved,2026-06-01 06:00 AM,6.0,Customer Operations,1.0,4.0,dashboard,False,,Breached,False,Not a Dispute
WYA-TCK-3B8712DE,CUST-0001,My card was used for a transaction I did not authorize.,card_issue,Neutral,Customer Operations,Medium,Open,2026-06-03 12:00 AM,2026-06-01 12:00 AM,Chatbot,SME,Card Services,Resolved,2026-06-01 06:00 AM,6.0,Customer Operations,1.0,4.0,dashboard,False,,Breached,True,Card Service Dispute
WYA-TCK-CDB6C38E,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-02 12:01 AM,2026-06-01 12:01 AM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",True,,Breached,True,Failed Transaction Dispute
WYA-TCK-66C6D763,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-02 04:34 PM,2026-06-01 04:34 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,SMTP_EMAIL is missing from .env,Breached,True,Failed Transaction Dispute
WYA-TCK-B699076C,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 01:25 PM,2026-06-02 01:25 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",True,,Breached,True,Failed Transaction Dispute
WYA-TCK-B65448BA,CUST-0001,My card was used for a transaction I did not authorize.,card_issue,Neutral,Customer Operations,Medium,Open,2026-06-04 01:27 PM,2026-06-02 01:27 PM,Chatbot,SME,Card Services,Resolved,2026-06-02 07:27 PM,6.0,Customer Operations,1.0,4.0,dashboard,False,,Breached,True,Card Service Dispute
WYA-TCK-73AE4AB2,CUST-0001,Someone accessed my account without permission and made a transaction.,fraud_alert,Neutral,Fraud/Risk Team,Critical,Escalated,2026-06-02 05:28 PM,2026-06-02 01:28 PM,Chatbot,SME,Fraud/Security,Escalated,,,,,,"dashboard, email",True,,Breached,True,Fraud/Risk Dispute
WYA-TCK-1E054B7E,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 02:00 PM,2026-06-02 02:00 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[Errno 11001] getaddrinfo failed,Breached,True,Failed Transaction Dispute
WYA-TCK-EC78AB82,CUST-0001,I was debited twice for one transaction and I need urgent help.,failed_transaction,Negative,Finance Operations,High,Escalated,2026-06-03 02:00 PM,2026-06-02 02:00 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[Errno 11001] getaddrinfo failed,Breached,True,Failed Transaction Dispute
WYA-TCK-0BC5F997,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 02:02 PM,2026-06-02 02:02 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081),Breached,True,Failed Transaction Dispute
WYA-TCK-1F4074FD,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 02:02 PM,2026-06-02 02:02 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081),Breached,True,Failed Transaction Dispute
WYA-TCK-DBD52380,CUST-0001,I transferred money but the receiver has not gotten it and I was debited.,failed_transaction,Neutral,Finance Operations,High,Escalated,2026-06-03 02:02 PM,2026-06-02 02:02 PM,Chatbot,SME,Transaction,Escalated,,,,,,"dashboard, email",False,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081),Breached,True,Failed Transaction Dispute
